"Company","Industry","Market_Cap","Profit_Margin","Revenue_Growth","ROA","Debt_to_Equity","ROE","Forward_PE"
"Apple Inc.","Consumer Electronics","2850000000000","26.58","11.2","19.88","170.714","145.57","26.634148"
"Microsoft Corporation","Software—Infrastructure","2280000000000","38.5","20.1","15.25","50.217","49.05","28.249302"
"Alphabet Inc.","Internet Content & Information","1870000000000","29.51","32.4","14.49","11.329","32.07","20.802807"
"Alphabet Inc.","Internet Content & Information","1870000000000","29.51","32.4","14.49","11.329","32.07","20.841927"
"NVIDIA Corporation","Semiconductors","690000000000","33.81","50.3","15.93","49.697","41.94","53.151634"
"Meta Platforms, Inc.","Internet Content & Information","617000000000","33.38","19.9","17.97","11.574","31.1","15.588195"
"Johnson & Johnson","Drug Manufacturers—General","466000000000","22.26","10.4","8.84","46.946","30.41","17.044315"
"Procter & Gamble Company (The)","Household & Personal Products","370000000000","18.52","6.1","9.51","79.418","31.09","24.029875"
"Mastercard Incorporated","Credit Services","343000000000","46","26.6","18.01","197.963","124.73","33.145298"
"Home Depot, Inc. (The)","Home Improvement Retail","324000000000","10.79","9.8","20.45","4373.43","1240.31","19.189623"
"Pfizer, Inc.","Drug Manufacturers—General","296000000000","28.68","134.4","7.78","52.496","27.75","1.0677726"
"AbbVie Inc.","Drug Manufacturers—General","285000000000","20.54","7.4","0","594.66","86.59","11.548318"
"Eli Lilly and Company","Drug Manufacturers—General","276000000000","21.52","18","11.11","215.45","92.24","38.58745"
"Coca-Cola Company (The)","Beverages—Non-Alcoholic","266000000000","23.31","16.1","7.83","172.826","39.72","25.320986"
"Broadcom Inc.","Semiconductors","260000000000","24.54","14.5","7.16","161.163","27.56","17.444384"
"Cisco Systems, Inc.","Communication Equipment","232000000000","22.44","8.1","9.2","25.032","28.19","14.9375"
"Pepsico, Inc.","Beverages—Non-Alcoholic","228000000000","10.62","11.6","7.98","258.017","55.41","24.516321"
"Comcast Corporation","Entertainment","215000000000","12.73","18.7","4.56","104.661","15.31","12.772358"
"Abbott Laboratories","Medical Devices","210000000000","17.12","23.4","7.74","53.112","21.86","24.989494"
"Accenture plc","Information Technology Services","207000000000","11.53","27.2","12.46","16.607","31.95","31.359808"
"Adobe Inc.","Software—Infrastructure","205000000000","30.55","20","14.08","31.581","34.37","26.56123"
"Merck & Company, Inc.","Drug Manufacturers—General","205000000000","13.68","20.4","12.13","73.728","26.04","11.297222"
"QUALCOMM Incorporated","Semiconductors","177000000000","27.71","30","17.32","138.975","106.74","13.571305"
"Union Pacific Corporation","Railroads","176000000000","29.92","11.5","9.29","222.357","41.92","24.022848"
"Texas Instruments Incorporated","Semiconductors","171000000000","42.35","18.5","25.62","61.547","69","22.466587"
"Netflix, Inc.","Entertainment","166000000000","17.64","16.3","10.01","117.578","39.39","28.559969"
"Bristol-Myers Squibb Company","Drug Manufacturers—General","163000000000","15.08","8.3","5.39","126.634","18.99","9.346938"
"Advanced Micro Devices, Inc.","Semiconductors","145000000000","19.24","48.8","21.33","9.764","47.43","35.82934"
"ConocoPhillips","Oil & Gas E&P","142000000000","17.32","177.1","10.44","45.371","21.47","13.782051"
"Honeywell International Inc.","Conglomerates","136000000000","15.8","8.7","7.39","122.846","30.44","22.025614"
"PayPal Holdings, Inc.","Credit Services","134000000000","20.09","13.2","3.81","43.902","24.3","21.586338"
"Deere & Company","Farm & Heavy Construction Machinery","134000000000","13.57","16","6.36","264.864","38.02","17.374601"
"Intuit Inc.","Software—Application","130000000000","20.28","51.7","12.8","25.758","27.93","33.676685"
"Applied Materials, Inc.","Semiconductor Equipment & Materials","122000000000","25.53","30.6","18.83","46.975","51.59","15.487004"
"Caterpillar, Inc.","Farm & Heavy Construction Machinery","121000000000","12.73","22.8","5.34","228.802","40.72","20.491743"
"BlackRock, Inc.","Asset Management","113000000000","30.97","15.6","2.73","21.949","16.97","17.539408"
"American Tower Corporation (REI","REIT—Specialty","110000000000","27.45","21.9","4.35","434.983","34.48","44.082417"
"Intuitive Surgical, Inc.","Medical Instruments & Supplies","102000000000","29.85","16.7","9.21","0.728","15.92","51.50269"
