"Company","Industry","ROE","ROE_Rank"
"Lockheed Martin Corporation","Aerospace & Defense","74.31","1"
"Northrop Grumman Corporation","Aerospace & Defense","59.6","2"
"General Dynamics Corporation","Aerospace & Defense","19.56","3"
"Corteva, Inc.","Agricultural Inputs","7.16","1"
"TJX Companies, Inc. (The)","Apparel Retail","44.43","1"
"Ameriprise Financial, Inc.","Asset Management","47.78","1"
"T. Rowe Price Group, Inc.","Asset Management","31.74","2"
"BlackRock, Inc.","Asset Management","16.97","3"
"Ford Motor Company","Auto Manufacturers","45.1","1"
"General Motors Company","Auto Manufacturers","17.22","2"
"Tesla, Inc.","Auto Manufacturers","15.64","3"
"Pepsico, Inc.","Beverages—Non-Alcoholic","55.41","1"
"Coca-Cola Company (The)","Beverages—Non-Alcoholic","39.72","2"
"Monster Beverage Corporation","Beverages—Non-Alcoholic","28.1","3"
"Constellation Brands, Inc.","Beverages—Wineries & Distilleries","-0.11","1"
"Moderna, Inc.","Biotechnology","109.61","1"
"Regeneron Pharmaceuticals, Inc.","Biotechnology","54.21","2"
"Vertex Pharmaceuticals Incorpor","Biotechnology","24.64","3"
"Carrier Global Corporation","Building Products & Equipment","24.88","1"
"Dow Inc.","Chemicals","39.37","1"
"Cisco Systems, Inc.","Communication Equipment","28.19","1"
"Motorola Solutions, Inc.","Communication Equipment","0","2"
"Arista Networks, Inc.","Computer Hardware","22.58","1"
"HP Inc.","Computer Hardware","0","2"
"The Hershey Company","Confectioners","59.37","1"
"Mondelez International, Inc.","Confectioners","16.31","2"
"3M Company","Conglomerates","44.8","1"
"Honeywell International Inc.","Conglomerates","30.44","2"
"Verisk Analytics, Inc.","Consulting Services","27.19","1"
"Apple Inc.","Consumer Electronics","145.57","1"
"Freeport-McMoRan, Inc.","Copper","25.74","1"
"Mastercard Incorporated","Credit Services","124.73","1"
"Visa Inc.","Credit Services","35.58","2"
"PayPal Holdings, Inc.","Credit Services","24.3","3"
"IDEXX Laboratories, Inc.","Diagnostics & Research","112.62","1"
"Agilent Technologies, Inc.","Diagnostics & Research","23.58","2"
"Thermo Fisher Scientific Inc","Diagnostics & Research","20.48","3"
"Target Corporation","Discount Stores","50.01","1"
"Dollar General Corporation","Discount Stores","37.11","2"
"Costco Wholesale Corporation","Discount Stores","30.56","3"
"Eli Lilly and Company","Drug Manufacturers—General","92.24","1"
"AbbVie Inc.","Drug Manufacturers—General","86.59","2"
"Amgen Inc.","Drug Manufacturers—General","58.5","3"
"Zoetis Inc.","Drug Manufacturers—Specialty & Generic","48.91","1"
"Amphenol Corporation","Electronic Components","26.71","1"
"TE Connectivity Ltd. New Switze","Electronic Components","23.19","2"
"Activision Blizzard, Inc","Electronic Gaming & Multimedia","16.88","1"
"Electronic Arts Inc.","Electronic Gaming & Multimedia","9.85","2"
"Johnson Controls International ","Engineering & Construction","9.37","1"
"Netflix, Inc.","Entertainment","39.39","1"
"Charter Communications, Inc.","Entertainment","17.69","2"
"Comcast Corporation","Entertainment","15.31","3"
